desc,feature,title
"A floral kurta for your summer wadrobe. It comes with a fabric neklace and bell cuffs. Crafted in finest cotton and cut into comfort fit, this kurta will prove a nice summer wear. Color combination is a plus point.",Key Features Category Mix & Match Fit A-Line Color White Neckline Round Neck Fabric Cotton Sleeve Length Bell Sleeve,White Cotton A Line Kurta
"Give your wardrobe a fresh update with this summer kurta from our latest collection. Crafted in finest fabric and cut into comfort fit, this kurta will look great when paired with a neon canvas skirt just like us.",Key Features Category Mix & Match Fit Straight Color Green Neckline Boat Neck Fabric Cotton Sleeve Length Sleeveless,Green Cotton Straight Kurta
"A flared kurta from our latest range. This floral kura has tie up on either sides, block print, round neckline with botton loop and three forth sleeves. It is a cotton made piece, which makes it perfect for your summer wardrobe.",Key Features Category Mix & Match Fit Flared Color White Neckline Round Neck Fabric Cotton Sleeve Length 3/4 Sleeve,White Cotton Flared Kurta
"A flared kurta from our latest range. This floral kurta has tie up on either sides, block print, round neckline with botton loop and three forth sleeves. It is a cotton made piece, which makes it perfect for your summer wardrobe.",Key Features Category Mix & Match Fit Flared Color Red Neckline Round Neck Fabric Cotton Sleeve Length 3/4 Sleeve,Red Cotton Flared Kurta
"A perfect cotton kurta for your summer wardrobe. It comes with a fabric necklace to give your look a trendy touch. Crafted in finest fabric and cut into comfort fit, this kurta will look great when paired with a neon canvas skirt just like us.",Key Features Category Mix & Match Fit A-Line Color Green Neckline Round Neck Fabric Cotton Sleeve Length Bell Sleeve,Green Cotton A Line Kurta
An off white Anarkali kurta featuring embroidery on the neckline and floral bird print on the ghera with metallic touch. It is an art silk made kurta with cotton lining.,Key Features Category Mix & Match Fit Anarkali Color Off White Neckline Round Neck Fabric Poly Cotton Sleeve Length 3/4 Sleeve,Off White Poly Cotton Anarkali Kurta
"A metallic print kurta for summer festivities. Crafted using poly modal fabric and cotton lining, this kurta will prove a comfortable outfit for an any event. Pair with contrasting white pants from Biba to give your look a summerish touch.",Key Features Category Mix & Match Fit Straight Color Blue Neckline Round Neck Fabric Poly Modal Sleeve Length 3/4 Sleeve,Blue Poly Modal Straight Kurta
"If you love wearing bright colors to special occasions than you will love this yellow zari work kurta. It is a combo of a straight fit kurta and inner. Kurta comes featuring embroidery with sitaras, all over the front.",Key Features Category Mix & Match Fit A-Line Color Yellow Neckline Round Neck Fabric Poly Cotton Sleeve Length 3/4 Sleeve,Yellow Poly Cotton A Line Kurta
"Give your wardrobe a fresh update with this summer kurta from our latest collection. Crafted in finest fabric and cut into comfort fit, this kurta will look great when paired with a contrast pants and mid heel sandals",Key Features Category Mix & Match Fit Straight Color Mint Green Neckline Band Collar Fabric Rayaon Sleeve Length 3/4 Sleeve,Mint Green Rayon Straight Kurta
"Give your wardrobe a fresh update with this summer kurta from our latest collection. Crafted in finest fabric and cut into comfort fit, this kurta will look great when paired with a contrast pants and mid heel sandals.",Key Features Category Mix & Match Fit A-Line Color Yellow Neckline Band Collar Fabric Cotton Flax Sleeve Length Roll Up Sleeve,Yellow Striped Linen Kurta
